id,title,release_date,recent_reviews,all_reviews,price,developers,number_languages,compatible_os,tags
302970,Radiant Defense,"11 Jul, 2014","['83', '95']","['83', '95']","['4,99']",['Hexage'],7,1,"['Strategy', 'Indie', 'TowerDefense']"
1329600,Karting,"15 Apr, 2021","['85', '14', '30']","['88', '326']","['1,99']",['RewindApp'],1,1,"['Racing', 'Casual', 'Multiplayer', 'Simulation', 'PvP', 'Indie', 'Singleplayer', 'ThirdPerson', 'Sports', 'Arcade', 'FamilyFriendly', 'AutomobileSim', 'Relaxing', 'ScoreAttack', 'Action']"
1073820,"Love, Sam","31 May, 2019","['94', '175']","['94', '175']","['2,39']",['Korean Linguistics Lab'],1,1,"['Adventure', 'Indie', 'Violent', 'Horror', 'PsychologicalHorror']"
714800,Maitetsu,"29 Jun, 2018","['95', '285']","['95', '285']","['12,49']",['Lose'],2,1,"['Cute', 'Anime', 'VisualNovel', 'Trains', 'Casual', 'SexualContent', 'StoryRich', 'NSFW', 'Funny', 'Romance', 'InteractiveFiction', 'Drama', '2D', 'ChoicesMatter', 'Nudity']"
203990,SATAZIUS,"16 Dec, 2011","['90', '151']","['90', '151']",,['ASTRO PORT'],2,2,"[""Shoot'EmUp"", 'Indie', 'Action', 'Arcade', '2D', 'BulletHell', 'SideScroller', 'Singleplayer', 'Difficult']"
1025480,1-Bit Revival: The Residuals of Null,"20 Mar, 2019","['100', '11']","['100', '11']",,['Alex Hanson-White'],18,2,"['Action', 'Indie', 'PixelGraphics', 'Retro', 'Arcade', '2D', 'BulletHell', 'ProceduralGeneration', 'Platformer', 'HackandSlash', 'Fast-Paced', 'Space', 'Ninja', 'Classic', 'Puzzle', 'Shooter', 'Match3']"
623320,Button Button Up!,"9 Aug, 2019","['98', '82']","['98', '82']","['9,99']",['Centrosphere Games'],4,1,"['Sokoban', '2DPlatformer', 'PuzzlePlatformer', 'Puzzle', 'Parkour', 'PvP', 'Difficult', 'Platformer', '2D', 'Cute', 'Funny', 'Linear', 'Casual', 'Action', 'PixelGraphics', 'Survival', 'Adventure', ""1990's"", 'OldSchool', 'Singleplayer']"
130,Half-Life: Blue Shift,"1 Jun, 2001","['92', '288', '30']","['91', '8,330']","['3,99']",['Gearbox Software'],3,3,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'Classic', 'First-Person', 'Zombies', 'Adventure', ""1990's"", 'Short', 'Atmospheric', 'SilentProtagonist', 'StoryRich', 'Puzzle', 'Moddable', 'GreatSoundtrack', 'Retro', 'OldSchool']"
1098270,ColdSide,"6 Nov, 2020","['78', '14', '30']","['80', '277']","['6,59']",['AdroVGames'],5,1,"['Adventure', 'Indie', 'Singleplayer', 'PsychologicalHorror', 'Horror', 'First-Person', 'Atmospheric']"
359600,Assassin’s Creed® Chronicles: Russia,"9 Feb, 2016","['68', '16', '30']",,"['9,99']",['Climax Studios'],13,1,"['Action', 'Adventure', 'Assassin', 'Stealth', '2.5D', 'Parkour', 'Platformer', 'Singleplayer', 'Historical', '2D', 'OpenWorld']"
491240,Lil Big Invasion,"4 Aug, 2016","['100', '14']","['100', '14']","['0,79']",['Andreas Britten'],1,1,"['DungeonCrawler', 'Collectathon', 'Action-Adventure', '2D', 'Cute', 'Funny', 'FamilyFriendly', 'Atmospheric', 'Adventure', 'Cartoon', 'Lemmings', 'Singleplayer', 'Indie', 'Mouseonly', 'Touch-Friendly', 'Soundtrack', 'Action', 'Puzzle', 'Arcade', 'Design&Illustration']"
780670,Fantasy of Expedition,"13 Sep, 2020","['81', '572']","['81', '572']","['8,19']",['LW.C'],5,2,"['RPG', 'Indie', 'Strategy', 'Action', 'Casual', 'Adventure', 'Roguelike', 'AutoBattler', 'PixelGraphics']"
449220,A grande bagunça espacial - The big space mess,"5 Apr, 2016","['87', '124']","['87', '124']","['0,99']",['RMAL'],3,1,"['Action', 'Indie', 'Casual', 'PsychologicalHorror', 'Comedy', 'Memes', 'Funny']"
895870,Project Wingman,"1 Dec, 2020","['94', '259', '30']","['94', '7,981']","['24,99']",['Sector D2'],8,1,"['Flight', 'Action', 'Jet', 'Indie', 'War', 'Military', 'Arcade', 'Singleplayer', 'Simulation', 'VR', 'Controller', 'GreatSoundtrack', 'Shooter', 'StoryRich', 'Sci-fi', 'First-Person', 'ThirdPerson', 'Epic', 'Realistic', 'Roguelike']"
703320,Hidden & Dangerous 2: Courage Under Fire,"21 Oct, 2003","['90', '10', '30']","['95', '475']","['9,99']",['Illusion Softworks'],5,1,"['Action', 'Strategy', 'FPS', 'Tactical', 'War', 'WorldWarII', 'Shooter', 'First-Person', 'Singleplayer', 'Multiplayer']"
1297010,Rinlo,"7 Oct, 2020","['85', '21']","['85', '21']","['12,99']",['GuraShop'],2,1,"['Puzzle', 'Adventure', 'Casual', 'Indie', 'Exploration', 'Steampunk', 'Action', 'Singleplayer', 'Action-Adventure', 'Spectaclefighter', 'PuzzlePlatformer', 'EarlyAccess', 'ThirdPerson', 'Fantasy', 'VR', 'Dystopian', 'Logic', 'Funny', 'Stealth', 'Combat']"
214970,Intrusion 2,"11 Sep, 2012","['100', '18', '30']","['91', '918']","['7,99']",['Aleksey Abramenko'],2,2,"['Action', 'Indie', 'Platformer', '2D', 'Physics', 'Shooter', 'Sci-fi', 'Singleplayer', 'SideScroller', 'Difficult', 'GreatSoundtrack', ""Shoot'EmUp""]"
15390,Brothers in Arms: Hell's Highway™,"8 Oct, 2008","['83', '18', '30']","['89', '1,411']","['9,99']",['Gearbox Software'],4,1,"['Action', 'WorldWarII', 'FPS', 'Tactical', 'Singleplayer', 'Military', 'StoryRich', 'Shooter', 'Gore', 'Strategy', 'First-Person', 'Atmospheric', 'War', 'Historical', 'Multiplayer', 'Realistic', 'Controller', 'Third-PersonShooter']"
365890,Heroes of Normandie,"1 Oct, 2015","['69', '181']",,"['27,99']",['Cat Rabbit'],3,1,"['Strategy', 'BoardGame', 'WorldWarII', 'CardGame', 'Multiplayer', 'Turn-Based', 'Turn-BasedTactics', 'Singleplayer', 'Tactical', 'ReplayValue', 'AsynchronousMultiplayer', 'LocalCo-Op', 'LocalMultiplayer', 'Turn-BasedStrategy']"
1397920,Mr.Mine,"30 Sep, 2020","['93', '238', '30']","['91', '9,897']",[],['Austin Oblouk'],18,1,"['Casual', 'Idler', 'FreetoPlay', 'Clicker', 'Mining', 'Simulation', '2D', 'ResourceManagement', 'Singleplayer', 'Indie', 'Cartoony', 'Multiplayer', 'Survival']"
214360,Tower Wars,"14 Aug, 2012","['72', '1,152']","['72', '1,152']","['7,99']",['SuperVillain Studios'],3,2,"['TowerDefense', 'Strategy', 'Indie', 'Steampunk', 'Multiplayer', 'Co-op', 'Action', 'Singleplayer', 'OnlineCo-Op', 'Difficult']"
675010,MudRunner,"30 Oct, 2017","['92', '406', '30']","['89', '19,158']","['19,99']",['Saber Interactive'],9,1,"['Offroad', 'Simulation', 'AutomobileSim', 'Driving', 'Multiplayer', 'Realistic', 'Physics', 'OpenWorld', 'Co-op', 'OnlineCo-Op', 'Moddable', 'Mod', 'Racing', 'Singleplayer', 'Sandbox', 'Exploration', 'Atmospheric', 'Adventure', 'First-Person', 'ThirdPerson']"
1300310,Move Code Lines,"28 Aug, 2020","['92', '28']","['92', '28']","['4,99']",['Fewjix'],1,1,"['Programming', 'Hacking', 'Automation', 'Text-Based', 'Simulation', 'Education', 'Tutorial', 'Puzzle', 'Logic', 'Singleplayer', 'Indie']"
362090,Siralim,"24 Apr, 2015","['86', '178']","['86', '178']","['9,99']",['Thylacine Studios'],1,3,"['RPG', 'Indie', 'CreatureCollector', 'Turn-Based', 'Fantasy', 'Retro', 'Roguelite', 'Roguelike']"
528120,Darkness and Flame: Born of Fire,"8 Dec, 2016","['92', '112']","['92', '112']","['6,99']",['FIVE-BN GAMES'],11,2,"['Casual', 'Adventure', 'HiddenObject', 'Point&Click', 'FemaleProtagonist']"
1536720,Deep Sea Valentine,"12 Feb, 2021","['100', '10']","['100', '10']","['3,99']",['KigyoDev'],3,3,"['RPG', 'DatingSim', 'VisualNovel', 'LGBTQ+', ""1990's"", 'Anime', 'Casual', 'PixelGraphics', 'Stylized', 'Romance', 'Underwater', '2D', 'Colorful', 'Cute', 'Top-Down', 'Comedy', 'Relaxing', 'Exploration', 'ChoicesMatter', 'FemaleProtagonist']"
1196080,Space Simulation Toolkit,"5 Jun, 2020","['88', '50']","['88', '50']","['12,49']",['Pavel Kudinov'],1,1,"['Simulation', 'Indie', 'EarlyAccess', 'Sandbox', 'Physics', 'ArtificialIntelligence']"
1175830,Legend of Mana,"24 Jun, 2021","['72', '18', '30']","['82', '606']","['29,99']","['Square Enix', 'M2 Co., Ltd.']",8,1,"['Exploration', 'RealTimeTactics', 'RPG', 'ActionRPG', 'Party-BasedRPG', 'JRPG', 'PvP', 'StrategyRPG', 'Action', 'ChoicesMatter', 'Nonlinear', 'Colorful', 'Fantasy', 'Magic', ""1990's"", 'Combat', 'OldSchool', 'Retro', 'Co-op', 'LocalCo-Op']"
873560,Jack N' Jill DX,"28 Sep, 2018","['95', '65']","['95', '65']","['3,99']","['Rohan Narang', 'Ratalaika Games S.L.']",8,1,"['Indie', 'Casual', 'Action', 'Platformer']"
